#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T21:46:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400f3a61a6e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/167/40&tab:{J/ApJS/167/40/catalog}&key:source=J/ApJS/167/40/catalog&HTTPPRM:&&-ref=VIZ5400f3a61a6e&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/167/40/catalog
#-order=I
#-out=S
#S=wd
#-out=SpClass
#-out=WD
#-out=SDSS
#-out=pm
#-out=pmPA
#-out=umag
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=Teff
#Sloan=SDSS
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21670040
#Name: J/ApJS/167/40
#Title: SDSS4 confirmed white dwarfs catalog (Eisenstein+, 2006)
#Table	J_ApJS_167_40_catalog:
#Name: J/ApJS/167/40/catalog
#Title: SDSS DR4 white dwarfs and hot subdwarfs {\em(tables 1 and 1c of catalog)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	S	(A2)	{\bf wd} for white dwarfs, or {\bf sd} for subdwarfs	[ucd=src.class]
#Column	SpClass	(a12)	Spectral Classification	[ucd=spect.index]
#Column	WD	(a10)	McCook & Sion (1999, see Cat. III/235) WD catalog ID (as of 2005 August)	[ucd=meta.id]
#Column	SDSS	(a19)	The IAU name, JHHMMSS.ss+DDMMSS.s \linkRole{SDSS-DR4 photometric data} (3)	[ucd=meta.id;meta.main]
#Column	pm	(F7.1)	? Proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Proper-motion position angle, where 0 = north, 90 = east, etc	[ucd=pos.pm;pos.posAng]
#Column	umag	(F6.3)	? SDSS u-band PSF as observed magnitude	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F6.3)	? SDSS g-band PSF as observed magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band PSF as observed magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	Teff	(I6)	Autofit temperature	[ucd=phys.temperature]
#Column	RAJ2000	(F10.6)	Decimal degree right ascension (J2000) (4)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Decimal degree declination (J2000) (4)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	S	SpClass	WD	SDSS	pm	pmPA	umag	gmag	rmag	imag	zmag	Teff	RAJ2000	DEJ2000
002.443556	+14.719624	wd	DA_auto     	          	J000946.45+144310.6	   42.2	127.8	17.061	17.118	17.503	17.820	18.126	 24266	002.443556	+14.719624
002.540419	-09.224595	wd	DA          	0007-095  	J001009.70-091328.5	    8.0	202.1	20.424	20.136	20.281	20.477	20.726	 12562	002.540419	-09.224595
002.661601	-00.544884	wd	DA          	          	J001038.78-003241.5	   99.5	121.1	18.968	18.503	18.561	18.707	18.886	 10211	002.661601	-00.544884
002.672334	+01.012022	wd	DA_auto     	          	J001041.36+010043.2	   74.6	212.1	19.855	19.313	19.295	19.375	19.491	  9547	002.672334	+01.012022
002.679160	-00.899896	wd	DA          	          	J001042.99-005359.6	   28.9	244.2	19.394	18.927	18.783	18.763	18.775	  8063	002.679160	-00.899896
002.746855	-09.388491	wd	DA          	0008-096  	J001059.24-092318.5	   13.7	305.4	20.115	19.514	19.601	19.810	20.024	 11270	002.746855	-09.388491
002.756020	+00.737660	wd	DA_auto     	          	J001101.44+004415.5	   51.4	115.0	20.339	19.876	19.929	20.121	20.255	 10834	002.756020	+00.737660
002.787144	+00.395791	wd	DA_auto     	          	J001108.91+002344.8	   20.9	153.5	20.933	20.334	20.596	20.858	20.995	 13748	002.787144	+00.395791
002.791692	-00.256381	wd	DA_auto     	          	J001110.00-001522.9	   29.3	207.0	19.617	19.373	19.630	20.012	20.451	 17114	002.791692	-00.256381
002.801747	+15.869309	wd	DA_auto     	          	J001112.41+155209.5	    6.5	180.1	19.142	19.239	19.610	19.909	20.157	 28702	002.801747	+15.869309
002.905504	-10.419211	wd	DA          	0009-106  	J001137.32-102509.1	    9.8	134.1	19.032	19.378	19.868	20.199	20.445	 36103	002.905504	-10.419211
002.950829	-09.352860	wd	DA          	0009-096  	J001148.19-092110.2	   52.4	165.2	18.073	17.725	17.891	18.137	18.352	 12350	002.950829	-09.352860
003.015581	-10.358655	wd	DA:         	0009-106.1	J001203.73-102131.1	   40.3	 98.1	20.606	20.275	20.228	20.447	20.297	  8954	003.015581	-10.358655
003.025119	-10.501412	wd	DB          	0009-107  	J001206.02-103005.0	   29.1	124.5	19.798	19.912	20.237	20.513	21.013	 19259	003.025119	-10.501412
003.083242	-09.765444	wd	DA          	0009-100  	J001219.97-094555.6	       	     	19.326	18.949	18.929	19.020	19.233	  9486	003.083242	-09.765444
003.190031	+14.665670	wd	DA_auto     	          	J001245.60+143956.4	   61.9	 76.1	18.790	18.152	18.271	18.417	18.668	 10871	003.190031	+14.665670
003.196598	+00.180235	wd	DA+M        	          	J001247.18+001048.8	    9.4	 83.0	20.734	20.217	19.664	18.635	17.965	  6300	003.196598	+00.180235
003.196598	+00.180235	wd	DA+M        	          	J001247.18+001048.8	    9.4	 83.0	20.734	20.217	19.664	18.635	17.965	  6300	003.196598	+00.180235
003.224669	-01.013923	wd	DA          	0010-012  	J001253.92-010050.1	    8.7	292.2	19.299	18.911	18.854	18.909	19.120	  9137	003.224669	-01.013923
003.224669	-01.013923	wd	DA          	0010-012  	J001253.92-010050.1	    8.7	292.2	19.299	18.911	18.854	18.909	19.120	  8935	003.224669	-01.013923
003.275967	+00.918447	wd	DA_auto     	          	J001306.23+005506.4	   98.9	 64.0	19.843	19.389	19.424	19.590	19.641	 10886	003.275967	+00.918447
003.322220	-09.816856	wd	DA          	0010-100  	J001317.33-094900.6	   29.1	 70.5	19.355	19.112	19.410	19.714	19.854	 16579	003.322220	-09.816856
003.351389	-08.839295	wd	WD:+M       	          	J001324.33-085021.4	   18.2	106.6	19.693	19.733	19.665	19.075	18.565	  6570	003.351389	-08.839295
003.413322	+00.323419	wd	DA          	0011+000  	J001339.19+001924.3	  454.4	113.6	15.754	15.366	15.433	15.501	15.686	  9515	003.413322	+00.323419
003.413322	+00.323419	wd	DA          	0011+000  	J001339.19+001924.3	  454.4	113.6	15.754	15.366	15.433	15.501	15.686	  9513	003.413322	+00.323419
003.413322	+00.323419	wd	DA          	0011+000  	J001339.19+001924.3	  454.4	113.6	15.754	15.366	15.433	15.501	15.686	  9591	003.413322	+00.323419
003.413322	+00.323419	wd	DA          	0011+000  	J001339.19+001924.3	  454.4	113.6	15.754	15.366	15.433	15.501	15.686	  9587	003.413322	+00.323419
003.554293	+00.585529	wd	DA_auto     	          	J001413.03+003507.9	   46.7	217.8	19.596	19.601	19.904	20.214	20.368	 21221	003.554293	+00.585529
003.564969	-10.584971	wd	DA          	0011-108  	J001415.59-103505.8	   46.9	214.7	18.738	18.302	18.346	18.468	18.793	  9921	003.564969	-10.584971
003.612695	+13.849560	wd	DA_auto     	          	J001427.04+135058.4	    8.8	165.6	18.728	18.322	18.322	18.391	18.525	  8998	003.612695	+13.849560
003.674789	-00.766820	wd	DA_auto     	          	J001441.94-004600.5	   57.8	118.4	19.431	19.002	19.043	19.148	19.431	 10112	003.674789	-00.766820
003.703458	+00.340932	wd	DA          	0012+000  	J001448.82+002027.3	       	     	19.324	18.903	18.926	18.959	19.077	  9157	003.703458	+00.340932
003.703458	+00.340932	wd	DA          	0012+000  	J001448.82+002027.3	       	     	19.324	18.903	18.926	18.959	19.077	  8995	003.703458	+00.340932
003.828671	+13.892466	wd	DA_auto     	          	J001518.88+135332.8	  186.3	 94.6	17.699	17.270	17.243	17.314	17.435	  8635	003.828671	+13.892466
003.873926	+01.089256	wd	DB          	0012+008  	J001529.74+010521.3	   20.8	184.6	18.711	18.938	19.419	19.730	20.092	 35974	003.873926	+01.089256
003.954260	+01.160365	wd	DA+M        	          	J001549.02+010937.3	   20.9	183.9	21.230	20.866	20.608	19.851	19.273	  6306	003.954260	+01.160365
003.954939	+01.111358	wd	DA_auto     	          	J001549.18+010640.8	   54.3	124.9	20.673	20.336	20.051	20.135	20.041	  7603	003.954939	+01.111358
003.983649	-00.087593	wd	DA          	          	J001556.07-000515.3	   82.6	247.8	18.679	18.235	18.291	18.400	18.493	  9302	003.983649	-00.087593
004.020732	-01.107497	wd	DA_auto     	          	J001604.97-010626.9	   15.8	123.2	19.653	19.491	19.776	20.110	20.312	 17815	004.020732	-01.107497
004.072995	-00.550462	wd	DA_auto     	          	J001617.51-003301.6	       	     	20.152	19.664	19.575	19.525	19.612	  7879	004.072995	-00.550462
004.121066	-00.747513	wd	DA_auto     	          	J001629.05-004451.0	   27.0	161.0	18.692	18.250	18.263	18.326	18.516	  9531	004.121066	-00.747513
004.180671	+15.403023	wd	DA_auto     	          	J001643.36+152410.8	  119.9	123.7	18.863	18.469	18.405	18.395	18.563	  8336	004.180671	+15.403023
004.214220	-01.224833	wd	PG1159      	0014-015  	J001651.41-011329.3	   19.8	152.9	16.045	16.570	17.041	17.372	17.808	100000	004.214220	-01.224833
004.227823	+15.242258	wd	DA_auto     	          	J001654.67+151432.1	    7.8	140.4	19.500	18.975	19.120	19.229	19.477	 12049	004.227823	+15.242258
004.231319	-00.934590	wd	DA_auto     	          	J001655.51-005604.5	   62.0	 87.7	18.003	17.671	17.928	18.171	18.469	 15498	004.231319	-00.934590
004.236584	-00.026758	wd	DC          	          	J001656.78-000136.3	   45.2	238.7	19.269	19.056	19.179	19.354	19.486	 10631	004.236584	-00.026758
004.315944	+01.219800	wd	DA_auto     	          	J001715.82+011311.2	   26.5	 98.9	19.469	19.110	19.265	19.469	19.566	 13950	004.315944	+01.219800
004.360982	-00.414225	wd	DA+M        	          	J001726.63-002451.2	    6.1	106.8	19.678	19.290	19.028	18.187	17.542	  6344	004.360982	-00.414225
004.360982	-00.414225	wd	DA+M        	          	J001726.63-002451.2	    6.1	106.8	19.678	19.290	19.028	18.187	17.542	  6302	004.360982	-00.414225
004.377565	+00.706794	wd	DA          	0014+004  	J001730.61+004224.4	    6.5	 49.1	18.912	18.922	19.272	19.529	19.702	 22125	004.377565	+00.706794
004.387237	-09.782463	wd	DA          	0014-100  	J001732.93-094656.8	   22.9	239.9	19.215	19.155	19.480	19.782	20.246	 20974	004.387237	-09.782463
004.403770	+14.850521	wd	DC          	          	J001736.90+145101.8	   44.2	146.0	18.798	18.330	17.861	17.562	17.280	  6300	004.403770	+14.850521
004.440764	-00.677933	wd	DA_auto     	          	J001745.78-004040.5	   17.1	164.2	19.278	19.208	19.513	19.864	20.103	 19672	004.440764	-00.677933
004.446498	+15.867901	wd	DA_auto     	          	J001747.15+155204.4	   15.6	220.8	19.476	18.972	19.120	19.292	19.469	 11743	004.446498	+15.867901
004.455178	-00.165436	wd	DA+M        	          	J001749.24-000955.5	   40.6	256.2	16.565	16.865	17.034	16.781	16.471	 10086	004.455178	-00.165436
004.455178	-00.165436	wd	DA+M        	          	J001749.24-000955.5	   40.6	256.2	16.565	16.865	17.034	16.781	16.471	 10092	004.455178	-00.165436
004.485509	-09.242571	wd	DB          	0015-095  	J001756.52-091433.2	   16.4	220.3	19.741	19.929	20.185	20.432	20.499	 23420	004.485509	-09.242571
004.571003	+14.916798	wd	DA_auto     	          	J001817.04+145500.4	   32.3	 36.6	19.942	19.501	19.588	19.770	19.994	 11055	004.571003	+14.916798
004.650641	+00.530953	wd	DA_auto     	          	J001836.15+003151.4	  165.7	 65.1	17.823	17.374	17.538	17.730	17.954	 11696	004.650641	+00.530953
004.660607	+00.995420	wd	DA_auto     	          	J001838.54+005943.5	   33.7	180.0	19.590	19.614	19.914	20.236	21.105	 21818	004.660607	+00.995420
004.705988	-00.201308	wd	DZ          	          	J001849.43-001204.7	   59.6	 81.0	18.527	18.376	18.445	18.606	18.858	 10493	004.705988	-00.201308
004.705988	-00.201308	wd	DZ          	          	J001849.43-001204.7	   59.6	 81.0	18.527	18.376	18.445	18.606	18.858	 10544	004.705988	-00.201308
004.784007	+14.240787	wd	DC:         	          	J001908.16+141426.8	   88.0	 74.8	18.343	18.020	17.988	18.020	18.151	 10084	004.784007	+14.240787
004.840363	+14.684805	wd	DA_auto     	          	J001921.68+144105.2	   19.8	166.3	19.595	19.161	19.012	19.057	19.206	  8400	004.840363	+14.684805
004.866059	-01.150860	wd	DA_auto     	          	J001927.85-010903.0	   16.7	279.3	19.850	19.466	19.443	19.511	19.634	  8800	004.866059	-01.150860
004.952560	+00.282594	wd	DA          	          	J001948.61+001657.3	   16.4	147.6	20.013	20.080	20.505	20.880	22.254	 25859	004.952560	+00.282594
005.007512	+13.880001	wd	DBA         	0017+136  	J002001.80+135248.0	   56.2	 92.6	15.077	15.199	15.528	15.813	16.079	 18394	005.007512	+13.880001
005.028289	+00.804984	wd	DA          	          	J002006.78+004817.9	   45.9	106.7	20.196	19.643	19.335	19.324	19.345	  7101	005.028289	+00.804984
005.167081	+00.185101	wd	DA          	0018-000  	J002040.09+001106.3	   58.3	189.6	19.207	18.624	18.464	18.368	18.439	  7743	005.167081	+00.185101
005.167081	+00.185101	wd	DA          	0018-000  	J002040.09+001106.3	   58.3	189.6	19.207	18.624	18.464	18.368	18.439	  7573	005.167081	+00.185101
005.167081	+00.185101	wd	DA          	0018-000  	J002040.09+001106.3	   58.3	189.6	19.207	18.624	18.464	18.368	18.439	  7831	005.167081	+00.185101
005.205967	+00.742983	wd	DA          	0018+004  	J002049.43+004434.7	  212.5	114.7	17.035	16.797	16.739	16.776	16.940	  9160	005.205967	+00.742983
005.205967	+00.742983	wd	DA          	0018+004  	J002049.43+004434.7	  212.5	114.7	17.035	16.797	16.739	16.776	16.940	  9180	005.205967	+00.742983
005.205967	+00.742983	wd	DA          	0018+004  	J002049.43+004434.7	  212.5	114.7	17.035	16.797	16.739	16.776	16.940	  9167	005.205967	+00.742983
005.279306	-00.504753	wd	DA_auto     	          	J002107.03-003017.1	   36.4	 91.2	19.149	18.760	19.051	19.379	19.595	 15250	005.279306	-00.504753
005.289742	-00.422013	wd	DA_auto     	          	J002109.53-002519.2	   38.4	215.9	19.625	19.157	19.256	19.412	19.429	 10355	005.289742	-00.422013
005.342249	+00.291662	wd	DA_auto     	          	J002122.13+001729.9	    8.0	157.6	18.875	18.881	19.228	19.526	19.722	 22672	005.342249	+00.291662
005.342249	+00.291662	wd	DA_auto     	          	J002122.13+001729.9	    8.0	157.6	18.875	18.881	19.228	19.526	19.722	 21771	005.342249	+00.291662
005.361210	-09.620598	wd	DA          	0018-098  	J002126.69-093714.1	   38.5	216.0	18.476	18.331	18.621	18.887	19.049	 17898	005.361210	-09.620598
005.369162	+15.039947	wd	DC          	          	J002128.59+150223.8	   83.1	169.3	18.689	18.177	17.973	17.930	17.992	 10080	005.369162	+15.039947
005.460736	-00.941654	wd	DB          	          	J002150.57-005629.9	   30.8	141.9	19.963	20.077	20.411	20.642	20.954	 17079	005.460736	-00.941654
005.510356	-00.637416	wd	DB          	          	J002202.48-003814.6	   12.6	165.4	18.659	18.763	18.945	19.245	19.394	 16546	005.510356	-00.637416
005.531893	-10.239877	wd	DA          	0019-105  	J002207.65-101423.5	   15.1	219.2	19.907	19.768	20.067	20.267	20.569	 19444	005.531893	-10.239877
005.560504	+01.089278	wd	DA_auto     	          	J002214.52+010521.4	   30.9	191.0	19.547	19.100	19.286	19.458	19.625	 11473	005.560504	+01.089278
005.599721	-00.056709	wd	DA_auto     	          	J002223.93-000324.1	   25.6	136.4	19.623	19.897	20.327	20.572	20.570	 29735	005.599721	-00.056709
005.618547	+00.520990	wd	DA          	          	J002228.45+003115.5	    7.8	146.5	19.711	19.229	19.613	19.826	19.993	 17355	005.618547	+00.520990
005.663585	-00.395068	wd	DA_auto     	          	J002239.26-002342.2	   48.4	 85.7	19.243	18.864	19.075	19.261	19.430	 13892	005.663585	-00.395068
005.696286	+15.475548	wd	DB          	          	J002247.10+152831.9	   14.5	194.9	19.804	19.865	20.124	20.449	20.507	 18408	005.696286	+15.475548
005.763261	-00.798817	wd	DA_auto     	          	J002303.18-004755.7	    3.1	 81.9	20.600	20.148	20.127	20.119	20.428	  8483	005.763261	-00.798817
005.773195	-10.327655	wd	DA          	0020-106  	J002305.56-101939.5	    7.8	247.7	20.526	20.272	20.535	20.906	20.614	 17044	005.773195	-10.327655
005.787723	-00.561672	wd	DA_auto     	          	J002309.05-003342.0	   97.7	 83.8	16.560	16.277	16.558	16.852	17.073	 15517	005.787723	-00.561672
005.843523	+15.003239	wd	DA:         	          	J002322.44+150011.6	   30.3	118.4	18.939	18.826	18.942	19.108	19.195	 10964	005.843523	+15.003239
005.904192	+15.908038	wd	DA_auto     	          	J002337.00+155428.9	   22.9	182.4	20.163	19.799	19.966	20.149	20.280	 13592	005.904192	+15.908038
006.126121	-09.148595	wd	DA          	0021-094  	J002430.26-090854.9	    5.7	123.5	17.507	17.475	17.800	18.076	18.410	 20870	006.126121	-09.148595
006.196473	+15.243046	wd	DA_auto     	          	J002447.15+151434.9	   33.3	131.0	19.073	19.012	19.421	19.658	19.866	 24242	006.196473	+15.243046
006.211402	+00.319706	wd	DA_auto     	          	J002450.73+001910.9	   30.7	233.4	19.998	19.613	19.611	19.692	19.835	  9429	006.211402	+00.319706
