#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T22:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400fc0536c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:III/235B&tab:{III/235B/catalog}&key:source=III/235B/catalog&HTTPPRM:&&-ref=VIZ5400fc0536c9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=III/235B/catalog
#-order=I
#-out=WD
#-out=RAB1950
#-out=DEB1950
#-out=SpType
#-out=bNote
#-out=Names
#-out=Vmag
#-sort=Vmag
#Vmag=<14
#-out=B-V
#-out=U-B
#-out=Teff
#-out=pm
#-out=pmPA
#WDcat=WDcat
#

#RESOURCE=yCat_3235
#Name: III/235B
#Title: Spectroscopically Identified White Dwarfs (McCook+, 2008)
#Coosys	B1950_1950.000:	eq_FK4 B1950
#Table	III_235B_catalog:
#Name: III/235B/catalog
#Title: Data for the White Dwarfs
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	WD	(a10)	White Dwarf (WD) number (1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	?Hours RA, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	?Degrees Dec, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	SpType	(a9)	Spectral type (definitions in the paper, or in file "\begin{tex}\vFile{III/235B/./preface.tex}{preface.tex}\end{tex}").	[ucd=src.spType]
#Column	bNote	(A1)	[*b?] 'b' if white dwarf is member of binary, '*' indicates a note in file "\begin{tex}\vFile{III/235B/./notes.dat}{notes.dat}\end{tex}"	[ucd=meta.code]
#Column	Names	(a26)	Other names for this star, see table Names	[ucd=meta.id]
#Column	Vmag	(F5.2)	?V or other magnitude (see n_Vmag)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	?U-B color in the UBV system	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Teff	(I3)	?Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	pm	(F7.4)	?Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	?Position angle of proper motion vector	[ucd=pos.pm;pos.posAng]
_RAJ2000	_DEJ2000	WD	RAB1950	DEB1950	SpType	bNote	Names	Vmag	B-V	U-B	Teff	pm	pmPA
308.5872	+25.0619	2032+248  	20 32 13	+24 53.8	DA3      	 	203422+250353GL 794       	11.52	-0.070	-0.870	   	 0.6600	217.0
        	        	2032+248  	        	        	DA2.6    	 	AC+25 68981  G186-031     	11.53	-0.080	-0.860	   	 0.7000	212.3
        	        	2032+248  	        	        	DA2.5    	 	WOLF1346     NLTT49494    	11.53	      	      	   	 0.6620	214.2
        	        	2032+248  	        	        	         	 	CI20-1215    EG139        	11.54	-0.070	-0.870	   	 0.6952	216.0
        	        	2211-495  	        	        	DA.82    	 	                          	11.60	-0.400	      	   	       	
176.4281	-64.8407	1142-645  	11 42 58	-64 33.5	DQ6      	*	114521-645008EG082        	11.63	 0.220	-0.660	   	 2.6670	 97.2
249.6269	-57.4693	1634-573  	16 34 19	-57 22.2	DOZ1     	*	             HD149499B    	11.70	-0.390	-1.350	 55	       	
        	        	2211-495  	        	        	DA.76    	 	                          	11.70	      	      	   	       	
        	        	2211-495  	        	        	DA.79    	 	                          	11.71	-0.341	-1.205	   	       	
        	        	0044-121  	        	        	         	 	RE           MCT          	11.74	-0.300	-1.210	   	       	
177.6601	-23.3414	1148-230  	11 48 06	-23 03.8	DA0      	 	             EC           	11.76	-0.270	-1.160	   	       	
333.5460	-49.3233	2211-495  	22 11 02	-49 34.3	DA       	 	221411-491925RE           	11.77	-0.342	-1.224	   	       	
076.3753	+52.8133	0501+527  	05 01 31	+52 44.8	DA1      	 	050533+524825G191-B2B     	11.78	-0.340	-1.200	   	 0.0882	174.9
        	        	0501+527  	        	        	         	b	                          	11.78	-0.333	      	   	       	
        	        	0501+527  	        	        	DA.79    	 	EG247        RE           	11.80	-0.320	-1.200	   	 0.1000	160.0
        	        	0044-121  	        	        	PG1159 .3	 	PHL 829      EUV          	11.84	      	      	   	       	
        	        	0621-376  	        	        	DA.82    	 	                          	11.90	-0.200	      	   	       	
130.3775	-32.9390	0839-327  	08 39 34	-32 46.7	DA6      	 	084134-325727CD-32 5613   	11.90	 0.250	 0.590	   	 1.7090	322.0
        	        	0839-327  	        	        	DA5.3    	 	LHS 253      LFT0600      	11.90	 0.250	-0.590	   	 1.6900	321.0
        	        	0044-121  	        	        	         	 	2RE                       	11.96	      	      	   	       	
109.4029	+58.4067	0713+584  	07 13 20	+58 29.8	DA4      	 	             GD 294       	12.00	      	      	   	       	140.0
        	        	0713+584  	        	        	         	 	                          	12.00	-0.060	      	   	       	
        	        	0644+375  	        	        	         	 	LTT11917                  	12.05	-0.080	-0.920	   	 0.9680	193.3
        	        	0644+375  	        	        	         	 	NLTT16983    HE3          	12.06	      	      	   	 0.9620	190.9
        	        	0644+375  	        	        	DA2.4    	 	G087-007     GL 246       	12.07	-0.080	-0.920	   	 0.9500	191.0
        	        	0644+375  	        	        	         	 	LHS1870      LP254-026    	12.08	-0.090	-0.890	   	 0.9700	193.7
095.8017	-37.6904	0621-376  	06 21 30	-37 39.8	DA       	 	062312-374128RE           	12.09	-0.330	-1.223	   	       	
        	        	0621-376  	        	        	DA.74    	 	                          	12.09	-0.329	-1.204	   	       	
101.9097	+37.5130	0644+375  	06 44 15	+37 34.9	DA2      	 	064738+373134LFT0487      	12.10	-0.080	-0.920	   	 0.9700	190.0
        	        	1348-273  	        	        	DA6      	 	L0619-050    NLTT35442    	12.18	      	      	   	 0.1780	145.9
302.7472	-30.2210	2007-303  	20 07 54	-30 22.0	DA4      	 	             LTT 7987     	12.18	 0.070	-0.660	   	 0.4400	237.0
        	        	1917-077  	        	        	DBZ5     	 	EG131        LDS678A      	12.21	 0.050	-0.820	   	 0.2000	198.0
        	        	1647+591  	        	        	DAV      	 	DN Dra       G226-029     	12.22	 0.190	      	   	 0.3300	153.0
        	        	1647+591  	        	        	DAV3.7   	 	LP101-148    NLTT43637    	12.22	 0.190	-0.650	   	 0.3280	155.6
252.1107	+59.0549	1647+591  	16 47 38	+59 08.7	DAV4     	*	             GR368        	12.24	 0.160	-0.620	   	 0.3350	154.9
        	        	1647+591  	        	        	DAV4.2   	 	                          	12.24	 0.160	      	   	 0.3070	166.9
        	        	1647+591  	        	        	DAV4.3   	 	                          	12.24	      	      	   	       	
        	        	1917-077  	        	        	DBQA5    	 	                          	12.24	 0.070	-0.840	   	 0.1740	200.6
038.7819	 +3.7198	0232+035  	02 32 31	+03 30.1	DAZQO1   	b	023507+034356PG           	12.25	-0.240	-1.240	   	 0.0840	 83.0
        	        	0232+035  	        	        	         	*	                          	12.25	-0.230	-1.250	   	       	
        	        	1046+281  	        	        	         	 	EG073                     	12.25	 0.160	      	   	       	
290.1501	 -7.6579	1917-077  	19 17 54	-07 45.0	DBZ5     	b	             LTT 7658     	12.28	 0.070	-0.810	   	 0.1823	204.9
152.0390	+66.2932	1004+665  	10 04 24	+66 32.4	?        	 	100809+661739LP062-035    	12.29	      	      	   	 0.2100	224.0
        	        	0439+466  	        	        	DAO1     	 	LSV+4621     PK158+00     	12.30	      	      	   	       	
        	        	1327-083  	        	        	DA3.0    	 	EG099        WOLF 485A    	12.30	 0.080	-0.610	   	 1.1812	246.8
        	        	1917-077  	        	        	DBQ5     	*	GL 754.1A    L0923-021    	12.30	 0.050	-0.840	   	 0.2000	198.0
202.5577	 -8.5702	1327-083  	13 27 40	-08 18.4	DA3.5    	 	133013-083429LFT1014      	12.31	 0.090	-0.610	   	 1.1700	249.0
        	        	1327-083  	        	        	         	*	PG           BD-07 3632   	12.31	 0.090	-0.620	   	 1.2400	247.0
        	        	1327-083  	        	        	DA3.7    	 	                          	12.31	      	      	  0	 1.2100	249.5
        	        	1917-077  	        	        	DBQA5+dM 	 	                          	12.32	 0.040	      	   	       	
        	        	0232+035  	        	        	DA.80    	 	                          	12.33	      	      	   	       	
        	        	1327-083  	        	        	DA4      	b	NLTT34296                 	12.33	      	      	   	 1.2070	246.9
310.6485	-20.0763	2039-202  	20 39 42	-20 15.3	DA       	 	             EG141        	12.33	-0.080	-0.850	   	 0.3300	106.0
        	        	2117+539  	        	        	DA2.8    	 	GR378                     	12.33	 0.070	-0.670	   	 0.2130	336.4
        	        	2117+539  	        	        	         	 	                          	12.33	 0.060	-0.650	   	       	
        	        	2039-202  	        	        	DA2.5    	 	                          	12.34	-0.070	-0.830	   	       	
319.7300	+54.2134	2117+539  	21 17 22	+53 59.9	DA3.5    	*	             G231-040     	12.35	 0.070	-0.680	   	 0.2700	333.0
        	        	0046+051  	        	        	DZ8.8    	 	                          	12.36	 0.560	 0.040	   	 2.9600	155.7
        	        	1917-077  	        	        	DBQA5    	 	                          	12.36	 0.020	-0.860	   	       	
        	        	0046+051  	        	        	DZ7.4    	 	GL  35       NLTT 2724    	12.37	      	      	  0	 2.9800	155.0
        	        	0046+051  	        	        	         	 	LHS 007      WOLF 028     	12.37	 0.560	 0.000	   	 2.9800	155.7
        	        	2039-202  	        	        	DA3      	 	L0711-010    LTT 8189     	12.38	      	      	   	 0.3680	105.4
        	        	0046+051  	        	        	DZ7      	*	LFT0076      V MA 2       	12.39	 0.540	 0.020	   	 2.9800	155.5
        	        	0046+051  	        	        	         	 	                          	12.39	 0.540	 0.020	   	       	
        	        	0426+588  	        	        	DQ7      	 	G175-34B                  	12.39	      	      	   	 2.3411	145.3
012.2933	 +5.3852	0046+051  	00 46 31	+05 09.0	DZ8      	 	004905+052518G001-027     	12.40	 0.580	-0.020	   	 2.9700	154.0
244.4788	-15.5974	1615-154  	16 15 05	-15 28.4	DA2      	 	             LP744-040    	12.40	-0.250	-1.020	   	 0.2500	223.0
        	        	2007-219  	        	        	DA5.1    	 	LTT 7983     EG137        	12.40	      	      	   	 0.3260	160.7
        	        	0232+035  	        	        	DA.77    	 	RE                        	12.41	-0.203	-1.169	   	       	
        	        	0232+035  	        	        	DA.80    	 	                          	12.42	-0.200	-1.160	   	       	
        	        	0426+588  	        	        	DC+dM    	 	                          	12.43	 0.300	      	  0	       	
028.0119	+47.0009	0148+467  	01 48 56	+46 45.2	DA3.5    	 	             GD 279       	12.44	 0.170	-0.650	   	 0.0700	  5.0
        	        	0148+467  	        	        	DA3.7    	 	GR269                     	12.44	 0.060	-0.530	   	 0.1240	  0.6
        	        	0148+467  	        	        	         	 	                          	12.44	 0.060	-0.630	   	       	  5.0
067.8116	+58.9671	0426+588  	04 26 50	+58 53.2	DC5      	*	043105+585939LHS 027      	12.44	 0.320	-0.510	   	 2.3830	144.8
        	        	0426+588  	        	        	DC5      	 	EG180        GL 169.1B    	12.44	 0.310	-0.520	   	 2.3700	146.0
        	        	0426+588  	        	        	         	 	                          	12.44	 0.310	-0.530	   	 2.4400	146.6
        	        	0426+588  	        	        	         	b	STN2051B     AC+58  2500  	12.45	 0.330	-0.490	   	 2.3524	145.4
059.1292	-36.6878	0354-368  	03 54 40	-36 49.9	DA1      	 	                          	12.45	      	      	   	       	
        	        	1134+300  	        	        	         	 	                          	12.47	-0.050	-0.920	   	       	
        	        	1134+300  	        	        	         	 	                          	12.50	-0.060	-0.980	   	       	
        	        	1134+300  	        	        	         	 	                          	12.60	-0.050	-0.890	  0	       	
        	        	0439+466  	        	        	         	 	                          	12.62	      	      	   	       	
037.5822	 +5.2713	0227+050  	02 27 42	+05 03.0	DA3      	 	             FEIGE 022    	12.65	-0.060	-0.830	   	 0.1000	101.0
        	        	0439+466  	        	        	DA.61    	 	                          	12.67	-0.300	-1.240	   	       	
        	        	1314+293  	        	        	DA1      	b	HZ 43A       RE           	12.67	-0.060	-1.160	  0	 0.1760	235.8
        	        	1314+293  	        	        	DA.99    	 	                          	12.68	-0.120	-1.170	   	       	
        	        	1544-377  	        	        	DA7      	*	                          	12.72	 0.370	-0.460	   	       	
        	        	2149+021  	        	        	DA2.5    	 	                          	12.72	 0.000	-0.720	   	       	
328.1056	 +2.3876	2149+021  	21 49 53	+02 09.4	DA3      	 	             G093-048     	12.73	 0.060	-0.770	   	 0.3300	182.0
        	        	2149+021  	        	        	DA2.9    	 	                          	12.74	-0.008	-0.792	   	       	
        	        	2149+021  	        	        	         	 	GL 838.4     EG150        	12.75	      	      	   	 0.3010	177.3
        	        	1337+705  	        	        	DA2.3    	 	PG           EG102        	12.77	      	      	   	 0.4050	266.3
        	        	2149+021  	        	        	DA2.8    	 	                          	12.77	 0.000	-0.780	   	       	
        	        	1544-377  	        	        	DA       	 	LTT 6302                  	12.78	 0.330	-0.420	   	       	
321.7345	+73.6440	2126+734  	21 26 42	+73 25.8	DA4      	b	             G261-043     	12.78	 0.020	-0.650	   	 0.3200	172.0
        	        	2126+734  	        	        	DA3.3    	 	                          	12.78	      	-0.790	   	 0.2890	168.8
181.3601	-23.5502	1202-232  	12 02 52	-23 16.5	DA5      	 	120526-233314EC           	12.79	 0.250	-0.560	   	 0.2280	  9.1
204.7165	+70.2867	1337+705  	13 37 40	+70 32.4	DA2      	 	             LTT18341     	12.79	-0.090	-0.840	   	 0.3800	268.0
        	        	0135-052  	        	        	DA7.1    	 	G271-115     NLTT 5460    	12.80	 0.350	-0.480	   	 0.6600	122.0
        	        	0227+050  	        	        	DA2.7    	 	EG019                     	12.80	-0.054	-0.806	   	 0.0750	109.1
236.8635	-37.9235	1544-377  	15 44 12	-37 46.0	DA7      	 	154730-375509CD-37 6571B  	12.80	 0.300	-0.400	   	 0.4800	243.0
        	        	1544-377  	        	        	         	b	                          	12.80	 0.300	-0.400	   	       	
        	        	2126+734  	        	        	DA       	 	GW+73 8031   EG144        	12.82	 0.020	-0.650	   	 0.3200	170.0
024.5010	 -4.9975	0135-052  	01 35 27	-05 14.8	DA7      	*	013759-045945GL  64       	12.84	 0.340	-0.500	   	 0.6700	121.0
355.9610	+32.5467	2341+322  	23 41 21	+32 16.2	DA4      	b	234351+323248G130-005     	12.84	 0.200	-0.590	   	 0.2400	256.0
        	        	0135-052  	        	        	DA6.7    	 	LFT0142      EG011        	12.85	 0.340	-0.490	   	 0.6800	121.0
179.0577	-48.6783	1153-484  	11 53 42	-48 24.0	sd       	 	             L0325-214    	12.85	-0.205	-1.010	   	 0.0500	277.0
        	        	1544-377  	        	        	DA4.4    	 	                          	12.85	      	      	   	       	
        	        	0135-052  	        	        	         	 	LHS1270      LTT 0888     	12.86	 0.340	-0.480	   	 0.6830	120.1
199.0881	+29.1022	1314+293  	13 14 00	+29 22.0	DA1      	 	131622+290557EG098        	12.86	-0.100	-1.140	   	 0.1700	244.0
        	        	2126+734  	        	        	DA3.9    	 	GL 828.5     LTT18524     	12.87	 0.070	-0.680	   	 0.3113	174.5
        	        	2126+734  	        	        	DA3+?DC10	*	                          	12.88	 0.010	-0.660	   	       	
        	        	1314+293  	        	        	DA.96    	 	PG           US 490       	12.89	      	      	   	 0.1600	240.0
        	        	0109-264  	        	        	sdB      	 	PHL1003      TC201        	12.90	      	      	   	       	
070.8350	+46.7001	0439+466  	04 39 40	+46 36.4	DAO      	*	             SH2-216      	12.90	      	      	   	       	
        	        	2341+322  	        	        	DA4.0    	 	LTT16991     GL 905.2B    	12.90	 0.150	-0.610	   	 0.2231	255.3
        	        	0227+050  	        	        	DA2.5    	 	                          	12.91	-0.070	-0.830	   	 0.0970	
        	        	1314+293  	        	        	DA1.0    	 	                          	12.91	      	      	   	       	
        	        	1314+293  	        	        	         	*	                          	12.91	-0.312	      	   	       	
167.0013	 -5.1534	1105-048  	11 05 28	-04 52.6	DA3      	 	110759-050926LP672-001    	12.92	 0.090	-0.690	   	 0.4220	184.0
        	        	2341+322  	        	        	DA3      	 	PG           LP347-004    	12.92	 0.140	-0.650	   	 0.2290	252.2
        	        	2341+322  	        	        	         	*	LP347-415    NLTT57798    	12.92	 0.140	-0.610	  0	 0.1960	249.1
312.2782	+37.4704	2047+372  	20 47 10	+37 16.9	DA4      	 	             G210-036     	12.93	 0.140	-0.670	   	 0.2700	 50.0
        	        	2341+322  	        	        	DC8+dM2  	 	                          	12.93	 0.140	-0.610	   	       	
290.4184	+14.6763	1919+145  	19 19 23	+14 34.9	DA5      	 	             EG201        	12.94	 0.080	-0.660	   	 0.0880	179.0
281.9024	 +1.9576	1845+019  	18 45 05	+01 54.1	DA2      	 	184739+015734BPM93487     	12.95	-0.220	-1.070	   	 0.1100	
        	        	1845+019  	        	        	DA1.8    	 	LAN 18       RE           	12.96	-0.230	-1.090	   	       	
158.4815	-11.6842	1031-114  	10 31 28	-11 25.5	DA2      	 	103346-114148L0825-014    	12.97	-0.150	-1.020	   	 0.3300	260.0
        	        	1544-377  	        	        	DA5      	 	EG114        NLTT41169    	12.97	 0.180	      	   	 0.4800	243.0
        	        	1935+276  	        	        	DAV4.3   	 	GR277                     	12.97	 0.170	-0.560	   	 0.4380	 87.7
        	        	0738-172  	        	        	         	 	                          	12.98	 0.290	-0.610	   	       	
        	        	1935+276  	        	        	         	 	PG           PY Vul       	12.98	 0.170	      	   	 0.4420	
        	        	1935+276  	        	        	DAV4     	 	                          	12.98	 0.170	-0.560	   	 0.4050	 85.0
        	        	1314+293  	        	        	DA1.0    	 	                          	12.99	      	      	   	       	
025.3781	+83.5831	0134+833  	01 34 55	+83 19.8	DA2.5    	 	             GR308        	13.00	      	      	   	       	305.0
        	        	0738-172  	        	        	DZQA6.5  	 	                          	13.00	 0.300	-0.620	  0	 1.2600	117.0
        	        	0859-039  	        	        	DA2.1    	 	WD0902-041J               	13.00	 0.000	      	   	       	
        	        	1031-114  	        	        	         	 	RE                        	13.00	      	      	   	       	
174.2742	+29.7999	1134+300  	11 34 28	+30 04.6	DA3      	 	113705+294758EG184        	13.00	      	      	   	       	260.0
        	        	1202-232  	        	        	DA5.7    	 	                          	13.00	      	      	   	       	
294.3106	+27.7224	1935+276  	19 35 11	+27 36.5	DAV4     	*	             G185-032     	13.00	 0.170	-0.570	   	 0.4600	 85.0
        	        	2014-575  	        	        	DA       	 	                          	13.00	      	      	   	       	
        	        	2309+105  	        	        	DA.84    	 	RE           PG           	13.00	-0.290	-1.140	   	       	 90.0
        	        	1919+145  	        	        	         	 	GD 219       BPM94172     	13.01	 0.060	-0.660	   	       	200.0
323.4309	+83.0624	2136+828  	21 36 22	+82 49.8	DA3      	 	             EG147        	13.02	 0.000	-0.720	   	 0.6200	 24.0
        	        	2136+828  	        	        	DA2.8    	 	GL 836.2     LFT1649      	13.02	-0.010	-0.720	   	 0.6301	 27.0
        	        	2136+828  	        	        	         	 	GW+82 3818   G261-045     	13.02	-0.020	-0.720	   	 0.6400	 29.0
        	        	0549+158  	        	        	DA1.6    	 	EG210        GD 071       	13.03	-0.252	      	   	       	160.0
        	        	0549+158  	        	        	DA1.5    	 	RE           L1243-036    	13.03	-0.249	-1.107	   	 0.1870	155.9
        	        	1031-114  	        	        	DA2.0    	 	                          	13.03	-0.181	-0.983	   	       	
247.2917	+78.0785	1631+781  	16 31 31	+78 11.1	DA1      	b	162910+780440RE           	13.03	      	      	   	 0.0670	247.2
        	        	1631+781  	        	        	DA1.1    	 	                          	13.03	-0.080	      	   	       	
251.8266	+32.4738	1645+325  	16 45 25	+32 33.7	DBV2     	 	             GD 358       	13.03	-0.170	-1.030	   	       	295.0
        	        	2326+049  	        	        	DAV4     	 	                          	13.03	 0.140	-0.630	   	 0.4880	237.5
        	        	0549+158  	        	        	         	 	                          	13.04	-0.239	-1.149	   	       	
115.0863	-17.4144	0738-172  	07 38 02	-17 17.4	DZQ6     	b	074019-172441L0745-046A   	13.04	 0.240	-0.620	   	 1.2520	116.0
        	        	0738-172  	        	        	         	 	                          	13.04	 0.320	-0.630	   	 1.2650	115.6
        	        	1631+781  	        	        	DA1.1    	 	                          	13.04	      	      	   	       	
        	        	0738-172  	        	        	DZQA6    	 	                          	13.05	      	      	   	 1.2520	116.6
        	        	1214+032  	        	        	         	 	LHS2542      NLTT30211    	13.05	      	      	   	 0.6900	293.0
        	        	2326+049  	        	        	DAV      	 	PG           EG159        	13.05	 0.160	      	   	 0.4820	
